[36, 23, 20, 37, 4]
[18, 2, 8, 31, 11]
[38, 35, 2, 28, 3]
[8, 7, 16, 23, 31]
[23, 37, 5, 39, 9]
[23, 35, 16, 21, 17]
[13, 10, 21, 28, 30]
[1, 14, 4, 8, 35]
[29, 14, 38, 6, 3]
[14, 37, 19, 18, 32]
[30, 15, 34, 5, 23]
[16, 28, 27, 17, 5]
[9, 15, 23, 33, 31]
[29, 15, 4, 16, 5]
[27, 13, 12, 20, 11]
[2, 1, 22, 26, 30]
[17, 27, 22, 10, 37]
[4, 20, 21, 37, 18]
[28, 9, 8, 1, 37]
[29, 24, 28, 20, 31]
[37, 4, 30, 21, 7]
[1, 9, 26, 23, 12]
[37, 25, 10, 24, 15]
[8, 7, 35, 3, 4]
[20, 25, 36, 33, 11]
[27, 38, 10, 9, 20]
[5, 11, 1, 33, 8]
[37, 11, 22, 9, 10]
[16, 35, 9, 13, 34]
[23, 6, 34, 17, 7]
[9, 26, 1, 23, 16]
[23, 11, 36, 33, 8]
[20, 19, 29, 24, 5]
[10, 1, 21, 30, 3]
[34, 35, 4, 2, 33]
[32, 27, 35, 4, 21]
[2, 34, 29, 16, 10]
[5, 30, 25, 33, 31]
[38, 2, 37, 17, 31]
[1, 4, 25, 30, 9]
[33, 22, 27, 1, 25]
[13, 9, 4, 5, 30]
[18, 26, 3, 34, 13]
[17, 35, 20, 37, 29]
[23, 26, 11, 21, 37]
[18, 6, 34, 3, 11]
[13, 16, 4, 8, 12]
[25, 34, 3, 6, 33]
[22, 13, 34, 29, 9]
[31, 34, 37, 13, 8]
[8, 6, 27, 9, 20]
[15, 32, 16, 33, 34]
[11, 23, 32, 15, 16]
[1, 32, 23, 27, 20]
[3, 17, 24, 9, 31]
[1, 36, 16, 22, 10]
[37, 9, 10, 19, 35]
[34, 23, 17, 5, 8]
[35, 20, 3, 37, 10]
[24, 37, 1, 18, 30]
[5, 1, 4, 20, 27]
[11, 29, 37, 30, 33]
[32, 8, 30, 13, 11]
[27, 33, 16, 4, 14]
[23, 26, 2, 31, 29]
